date,stock,sigma,ADV
2019-11-21,AAL,0.000351454385085335,944446.1
2019-11-22,AAL,0.0003313678039558,895558.25
2019-11-25,AAL,0.00032278577238316,840649.25
2019-11-26,AAL,0.000318475722141035,819269.25
2019-11-27,AAL,0.00031549173921377,814206.05
2019-11-29,AAL,0.000311790931819555,780228.4
2019-12-02,AAL,0.000304059665026975,756794.6
2019-12-03,AAL,0.00030706262492916005,758037.35
2019-12-04,AAL,0.00030941803212788997,766981.3
2019-12-05,AAL,0.000310293209826945,760000.1
2019-12-06,AAL,0.000308382238073235,766945.1
2019-12-09,AAL,0.00030733678244168,760351.4
2019-12-10,AAL,0.00029921942012835,756191.5
2019-12-11,AAL,0.00029737793924881,789807.4
2019-12-12,AAL,0.00029392324394302997,774977.8
2019-12-13,AAL,0.00029623357196116503,798940.0
2019-12-16,AAL,0.00029963327216404,805853.7
2019-12-17,AAL,0.00029893145245060503,818999.15
2019-12-18,AAL,0.00029629391578135,822628.05
2019-12-19,AAL,0.000295013310045255,820064.2
2019-12-20,AAL,0.00028863924371601497,799999.1
2019-12-23,AAL,0.00028619817231504,822908.55
2019-12-24,AAL,0.00028553075909646,839095.4
2019-12-26,AAL,0.00028287326276073006,821333.25
2019-12-27,AAL,0.00028208820032178,818604.95
2019-01-31,AAP,0.00038999875638772504,172821.2
2019-02-01,AAP,0.0003848969688979,173842.6
2019-02-04,AAP,0.00037417424383053997,176902.45
2019-02-05,AAP,0.00036542201178887,168413.3
2019-02-06,AAP,0.000357396106947645,163310.25
2019-02-07,AAP,0.000351162997919445,161246.0
2019-02-08,AAP,0.00036744453941133003,170437.2
2019-02-11,AAP,0.00036445306291901997,168912.0
2019-02-12,AAP,0.00036167703781896,164794.8
2019-02-13,AAP,0.00035553255165374003,165487.3
2019-02-14,AAP,0.00035627815922942,163876.65
2019-02-15,AAP,0.000359343749858955,161972.0
2019-02-19,AAP,0.00035647963592784504,163657.1
2019-02-20,AAP,0.000373152116785955,172331.9
2019-02-21,AAP,0.00037929681681719,177258.55
2019-02-22,AAP,0.00038395399415089,181442.6
2019-02-25,AAP,0.00038147286115362497,177091.55
2019-02-26,AAP,0.00038052901954770997,176577.5
