stock,date,model_type,ADV,sigma,lambda_hat,half_life_seconds,beta,use_dynamic_target,gamma_method,gamma_clip_multiple,target_participation,target_abs_volume,raw_abs_volume,actual_abs_volume,net_traded,scale_factor,normalize_abs_volume,mean_local_volume,mean_gamma_prime,max_abs_gamma_prime,strategy,alpha_key
AES,2019-02-07,reduced_form,367966.8095238095,0.000300475148608,52.9958889841836,600.0,0.0011552453009332421,True,log_backward,0.5,0.2,73593.36190476191,11163833.783749541,73593.36190476193,-186.41969507581527,0.006592122682074229,True,10508.364723907034,0.000374096684247547,0.0005776226504666211,non_rolling_reduced_day_only,intraday_only
AES,2019-02-08,reduced_form,367966.8095238095,0.000300475148608,52.9958889841836,600.0,0.0011552453009332421,True,log_backward,0.5,0.2,73593.36190476191,10393544.72862307,73593.3619047619,160.61688571139663,0.007080679770597525,True,9216.415576136724,0.0003778562038410869,0.0005776226504666211,non_rolling_reduced_day_only,intraday_only
AES,2019-02-11,reduced_form,367966.8095238095,0.000300475148608,52.9958889841836,600.0,0.0011552453009332421,True,log_backward,0.5,0.2,73593.36190476191,9710492.696029734,73593.3619047619,-4.901755482681388,0.007578746435271153,True,8735.970154987985,0.0003923665918660136,0.0005776226504666211,non_rolling_reduced_day_only,intraday_only
AES,2019-02-12,reduced_form,367966.8095238095,0.000300475148608,52.9958889841836,600.0,0.0011552453009332421,True,log_backward,0.5,0.2,73593.36190476191,12150368.785884801,73593.36190476191,556.7204757684468,0.00605688298039612,True,14375.704427852317,0.0004297984435080602,0.0005776226504666211,non_rolling_reduced_day_only,intraday_only
AES,2019-02-13,reduced_form,367966.8095238095,0.000300475148608,52.9958889841836,600.0,0.0011552453009332421,True,log_backward,0.5,0.2,73593.36190476191,12102722.988073934,73593.3619047619,238.79893301369606,0.006080727616196873,True,13371.3069048632,0.00040001987390629763,0.0005776226504666211,non_rolling_reduced_day_only,intraday_only
AES,2019-02-14,reduced_form,367966.8095238095,0.000300475148608,52.9958889841836,600.0,0.0011552453009332421,True,log_backward,0.5,0.2,73593.36190476191,9175497.355608173,73593.3619047619,584.7053144333127,0.00802064008658678,True,7913.375047599646,0.0003743471784281343,0.0005776226504666211,non_rolling_reduced_day_only,intraday_only
AES,2019-02-15,reduced_form,367966.8095238095,0.000300475148608,52.9958889841836,600.0,0.0011552453009332421,True,log_backward,0.5,0.2,73593.36190476191,10452276.041201629,73593.3619047619,298.3459039632574,0.007040893448916354,True,11689.070281761431,0.00043164783617193384,0.0005776226504666211,non_rolling_reduced_day_only,intraday_only
AES,2019-02-19,reduced_form,367966.8095238095,0.000300475148608,52.9958889841836,600.0,0.0011552453009332421,True,log_backward,0.5,0.2,73593.36190476191,11064942.223942567,73593.3619047619,-322.5742307501857,0.00665103896751661,True,12225.62780463537,0.0004387893631298624,0.0005776226504666211,non_rolling_reduced_day_only,intraday_only
AES,2019-02-20,reduced_form,367966.8095238095,0.000300475148608,52.9958889841836,600.0,0.0011552453009332421,True,log_backward,0.5,0.2,73593.36190476191,8572420.492128795,73593.36190476191,156.97533393363574,0.008584898742698799,True,7254.264729087957,0.0004251545568846886,0.0005776226504666211,non_rolling_reduced_day_only,intraday_only
AES,2019-02-21,reduced_form,367966.8095238095,0.000300475148608,52.9958889841836,600.0,0.0011552453009332421,True,log_backward,0.5,0.2,73593.36190476191,10442060.695283396,73593.3619047619,-208.5233006277187,0.007047781472674594,True,11073.207149294765,0.00041232259981289826,0.0005776226504666211,non_rolling_reduced_day_only,intraday_only
