stock,date,ADV,sigma,lambda_hat,half_life_seconds,beta,c,target_participation,target_abs_volume,raw_abs_volume,actual_abs_volume,net_traded,scale_factor,normalize_abs_volume,apply_terminal_condition,strategy,model_type,alpha_key
AES,2019-02-07,367966.8095238095,0.000300475148608,0.4036421771883018,300.0,0.0023104906018664843,0.5,0.2,73593.36190476191,23370909.89540604,73593.36190476191,-703.5249438716871,0.0031489301115840583,True,True,non_rolling_afs_day_only,afs,intraday_only
AES,2019-02-08,367966.8095238095,0.000300475148608,0.4036421771883018,300.0,0.0023104906018664843,0.5,0.2,73593.36190476191,20547190.028815743,73593.3619047619,380.590046202659,0.0035816752461798078,True,True,non_rolling_afs_day_only,afs,intraday_only
AES,2019-02-11,367966.8095238095,0.000300475148608,0.4036421771883018,300.0,0.0023104906018664843,0.5,0.2,73593.36190476191,19863937.69068045,73593.36190476191,194.39715903680377,0.0037048727724961427,True,True,non_rolling_afs_day_only,afs,intraday_only
AES,2019-02-12,367966.8095238095,0.000300475148608,0.4036421771883018,300.0,0.0023104906018664843,0.5,0.2,73593.36190476191,27845994.5270831,73593.36190476191,1248.774922833992,0.0026428706589446747,True,True,non_rolling_afs_day_only,afs,intraday_only
AES,2019-02-13,367966.8095238095,0.000300475148608,0.4036421771883018,300.0,0.0023104906018664843,0.5,0.2,73593.36190476191,22269431.08127193,73593.3619047619,588.3709868370356,0.0033046808262045006,True,True,non_rolling_afs_day_only,afs,intraday_only
AES,2019-02-14,367966.8095238095,0.000300475148608,0.4036421771883018,300.0,0.0023104906018664843,0.5,0.2,73593.36190476191,30167745.965034746,73593.36190476193,1373.0278377002987,0.0024394716791257347,True,True,non_rolling_afs_day_only,afs,intraday_only
AES,2019-02-15,367966.8095238095,0.000300475148608,0.4036421771883018,300.0,0.0023104906018664843,0.5,0.2,73593.36190476191,21477426.961377837,73593.36190476191,699.7398643185159,0.003426544624600632,True,True,non_rolling_afs_day_only,afs,intraday_only
AES,2019-02-19,367966.8095238095,0.000300475148608,0.4036421771883018,300.0,0.0023104906018664843,0.5,0.2,73593.36190476191,22973737.356307782,73593.36190476191,-874.6482769006932,0.0032033691672964026,True,True,non_rolling_afs_day_only,afs,intraday_only
AES,2019-02-20,367966.8095238095,0.000300475148608,0.4036421771883018,300.0,0.0023104906018664843,0.5,0.2,73593.36190476191,19732582.136110216,73593.36190476193,372.2138492168006,0.003729535313581064,True,True,non_rolling_afs_day_only,afs,intraday_only
AES,2019-02-21,367966.8095238095,0.000300475148608,0.4036421771883018,300.0,0.0023104906018664843,0.5,0.2,73593.36190476191,19053062.674865603,73593.3619047619,-557.2082843304722,0.0038625476208528258,True,True,non_rolling_afs_day_only,afs,intraday_only
AES,2019-02-22,367966.8095238095,0.000300475148608,0.4036421771883018,300.0,0.0023104906018664843,0.5,0.2,73593.36190476191,31784366.865650687,73593.3619047619,1425.503085649681,0.0023153949303389818,True,True,non_rolling_afs_day_only,afs,intraday_only
AES,2019-02-25,367966.8095238095,0.000300475148608,0.4036421771883018,300.0,0.0023104906018664843,0.5,0.2,73593.36190476191,20195592.05434139,73593.36190476193,290.7262804993269,0.0036440309205464346,True,True,non_rolling_afs_day_only,afs,intraday_only
AES,2019-02-26,367966.8095238095,0.000300475148608,0.4036421771883018,300.0,0.0023104906018664843,0.5,0.2,73593.36190476191,19830389.583512858,73593.36190476193,-28.54904430975226,0.003711140499526445,True,True,non_rolling_afs_day_only,afs,intraday_only
AES,2019-02-27,367966.8095238095,0.000300475148608,0.4036421771883018,300.0,0.0023104906018664843,0.5,0.2,73593.36190476191,30877040.818957552,73593.36190476191,1270.1881230538334,0.0023834331254819555,True,True,non_rolling_afs_day_only,afs,intraday_only
