stock,date,ADV,sigma,lambda_hat,half_life_seconds,beta,target_participation,target_abs_volume,raw_abs_volume,actual_abs_volume,net_traded,scale_factor,normalize_abs_volume,strategy,model_type,alpha_key,c,apply_terminal_condition,use_dynamic_target,gamma_method,gamma_clip_multiple,mean_local_volume,mean_gamma_prime,max_abs_gamma_prime
ADBE,2019-02-11,414365.9523809524,0.0003273652057233,339.1893382018602,1800.0,0.0003850817669777474,0.2,82873.19047619049,40670484.794210985,82873.19047619049,10.901426408373183,0.0020376740256606582,True,non_rolling_ow_day_only,ow,intraday_only,,,,,,,,
ADBE,2019-02-12,414365.9523809524,0.0003273652057233,339.1893382018602,1800.0,0.0003850817669777474,0.2,82873.19047619049,39366798.101795085,82873.19047619049,6.580814388594135,0.0021051544568571746,True,non_rolling_ow_day_only,ow,intraday_only,,,,,,,,
ADBE,2019-02-13,414365.9523809524,0.0003273652057233,339.1893382018602,1800.0,0.0003850817669777474,0.2,82873.19047619049,40148557.72275365,82873.19047619049,-58.94150595318514,0.002064163575899097,True,non_rolling_ow_day_only,ow,intraday_only,,,,,,,,
ADBE,2019-02-14,414365.9523809524,0.0003273652057233,339.1893382018602,1800.0,0.0003850817669777474,0.2,82873.19047619049,39217519.95397689,82873.19047619047,9.253404540742913,0.002113167547908308,True,non_rolling_ow_day_only,ow,intraday_only,,,,,,,,
ADBE,2019-02-15,414365.9523809524,0.0003273652057233,339.1893382018602,1800.0,0.0003850817669777474,0.2,82873.19047619049,38065184.19355011,82873.1904761905,-5.379883212931894,0.0021771388273022674,True,non_rolling_ow_day_only,ow,intraday_only,,,,,,,,
ADBE,2019-02-19,414365.9523809524,0.0003273652057233,339.1893382018602,1800.0,0.0003850817669777474,0.2,82873.19047619049,39688494.95285244,82873.19047619049,14.791137316036732,0.002088091034307017,True,non_rolling_ow_day_only,ow,intraday_only,,,,,,,,
ADBE,2019-02-20,414365.9523809524,0.0003273652057233,339.1893382018602,1800.0,0.0003850817669777474,0.2,82873.19047619049,38979739.04661696,82873.19047619047,-16.013954888657224,0.0021260581138596163,True,non_rolling_ow_day_only,ow,intraday_only,,,,,,,,
ADBE,2019-02-21,414365.9523809524,0.0003273652057233,339.1893382018602,1800.0,0.0003850817669777474,0.2,82873.19047619049,38234420.118869886,82873.1904761905,-26.29382530490298,0.0021675022196894775,True,non_rolling_ow_day_only,ow,intraday_only,,,,,,,,
ADBE,2019-02-22,414365.9523809524,0.0003273652057233,339.1893382018602,1800.0,0.0003850817669777474,0.2,82873.19047619049,39437294.06399,82873.19047619049,23.90639025243472,0.002101391397232337,True,non_rolling_ow_day_only,ow,intraday_only,,,,,,,,
ADBE,2019-02-25,414365.9523809524,0.0003273652057233,339.1893382018602,1800.0,0.0003850817669777474,0.2,82873.19047619049,38574561.20807287,82873.1904761905,-38.85628338827273,0.002148389712825737,True,non_rolling_ow_day_only,ow,intraday_only,,,,,,,,
ADBE,2019-02-26,414365.9523809524,0.0003273652057233,339.1893382018602,1800.0,0.0003850817669777474,0.2,82873.19047619049,39340270.56592616,82873.1904761905,8.396577864311645,0.002106573983453219,True,non_rolling_ow_day_only,ow,intraday_only,,,,,,,,
ADBE,2019-02-27,414365.9523809524,0.0003273652057233,339.1893382018602,1800.0,0.0003850817669777474,0.2,82873.19047619049,40702935.10355505,82873.1904761905,55.68613736405907,0.0020360494953336234,True,non_rolling_ow_day_only,ow,intraday_only,,,,,,,,
ADBE,2019-02-28,414365.9523809524,0.0003273652057233,339.1893382018602,1800.0,0.0003850817669777474,0.2,82873.19047619049,39937433.79829921,82873.19047619049,72.48234436824293,0.002075075501714378,True,non_rolling_ow_day_only,ow,intraday_only,,,,,,,,
ADI,2019-02-01,446626.0,0.0003180139031073,338.4056168302951,1800.0,0.0003850817669777474,0.2,89325.20000000001,41398479.14232185,89325.20000000001,28.803625664490283,0.002157692790909376,True,non_rolling_ow_day_only,ow,intraday_only,,,,,,,,
ADI,2019-02-04,446626.0,0.0003180139031073,338.4056168302951,1800.0,0.0003850817669777474,0.2,89325.20000000001,41813494.81174386,89325.20000000003,48.47411856718982,0.002136276826468757,True,non_rolling_ow_day_only,ow,intraday_only,,,,,,,,
ADI,2019-02-05,446626.0,0.0003180139031073,338.4056168302951,1800.0,0.0003850817669777474,0.2,89325.20000000001,42295829.281076744,89325.20000000001,-26.30276342985257,0.002111915087570214,True,non_rolling_ow_day_only,ow,intraday_only,,,,,,,,
ADI,2019-02-06,446626.0,0.0003180139031073,338.4056168302951,1800.0,0.0003850817669777474,0.2,89325.20000000001,40813693.06648533,89325.20000000003,-30.173540922924182,0.0021886086087453457,True,non_rolling_ow_day_only,ow,intraday_only,,,,,,,,
ADI,2019-02-07,446626.0,0.0003180139031073,338.4056168302951,1800.0,0.0003850817669777474,0.2,89325.20000000001,40941624.51476191,89325.20000000001,3.8645167544622083,0.0021817698017281392,True,non_rolling_ow_day_only,ow,intraday_only,,,,,,,,
ADI,2019-02-08,446626.0,0.0003180139031073,338.4056168302951,1800.0,0.0003850817669777474,0.2,89325.20000000001,40486330.83639854,89325.2,23.130976067247502,0.0022063051443450073,True,non_rolling_ow_day_only,ow,intraday_only,,,,,,,,
